play,genre
A Comedy of Errors, comedies
A Midsummer nights dream, comedies
A Winters Tale, comedies
Alls well that ends well, comedies
As you like it, comedies
Loves Labours Lost, comedies
Measure for measure, comedies
Merchant of Venice, comedies
Merry Wives of Windsor, comedies
Much Ado about nothing, comedies
Pericles, comedies
Taming of the Shrew, comedies
The Tempest, comedies
Twelfth Night, comedies
Two Gentlemen of Verona, comedies
Henry IV, histories
Henry V, histories
Henry VI Part 1, histories
Henry VI Part 2, histories
Henry VI Part 3, histories
Henry VIII, histories
King John, histories
Richard II, histories
Richard III, histories
Antony and Cleopatra, tragedies
Coriolanus, tragedies
Cymbeline, tragedies
Hamlet, tragedies
Julius Caesar, tragedies
King Lear, tragedies
Othello, tragedies
Romeo and Juliet, tragedies
Timon of Athens, tragedies
Titus Andronicus, tragedies
Troilus and Cressida, tragedies
macbeth, tragedies
